"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"04.01.2021 18:15 - 04.01.2021 18:30","63137","71444"
"04.01.2021 18:30 - 04.01.2021 18:45","62847","71239"
"04.01.2021 18:45 - 04.01.2021 19:00","62989","70676"
"04.01.2021 19:00 - 04.01.2021 19:15","62448","70174"
"04.01.2021 19:15 - 04.01.2021 19:30","61528","69661"
"04.01.2021 19:30 - 04.01.2021 19:45","61252","69163"
"04.01.2021 19:45 - 04.01.2021 20:00","60617","68318"
"04.01.2021 20:00 - 04.01.2021 20:15","59500","67335"
"04.01.2021 20:15 - 04.01.2021 20:30","58149","66349"
"04.01.2021 20:30 - 04.01.2021 20:45","57279","65338"
"04.01.2021 20:45 - 04.01.2021 21:00","56487","64362"
"04.01.2021 21:00 - 04.01.2021 21:15","56024","63717"
"04.01.2021 21:15 - 04.01.2021 21:30","55749","62975"
"04.01.2021 21:30 - 04.01.2021 21:45","54811","62229"
"04.01.2021 21:45 - 04.01.2021 22:00","54479","61387"
"04.01.2021 22:00 - 04.01.2021 22:15","54611","61280"
"04.01.2021 22:15 - 04.01.2021 22:30","54002","60640"
"04.01.2021 22:30 - 04.01.2021 22:45","53402","59465"
"04.01.2021 22:45 - 04.01.2021 23:00","52463","58529"
"04.01.2021 23:00 - 04.01.2021 23:15","51432","57508"
"04.01.2021 23:15 - 04.01.2021 23:30","50611","56767"
"04.01.2021 23:30 - 04.01.2021 23:45","49873","56145"
"04.01.2021 23:45 - 05.01.2021 00:00","49416","55493"
"05.01.2021 00:00 - 05.01.2021 00:15","46083","53659"
"05.01.2021 00:15 - 05.01.2021 00:30","45399","52603"
"05.01.2021 00:30 - 05.01.2021 00:45","45052","52017"
"05.01.2021 00:45 - 05.01.2021 01:00","44535","51677"
"05.01.2021 01:00 - 05.01.2021 01:15","43905","51487"
"05.01.2021 01:15 - 05.01.2021 01:30","43360","51229"
"05.01.2021 01:30 - 05.01.2021 01:45","42979","50858"
"05.01.2021 01:45 - 05.01.2021 02:00","42891","50492"
"05.01.2021 02:00 - 05.01.2021 02:15","42947","50163"
"05.01.2021 02:15 - 05.01.2021 02:30","42909","49968"
"05.01.2021 02:30 - 05.01.2021 02:45","42964","49759"
"05.01.2021 02:45 - 05.01.2021 03:00","43077","49995"
"05.01.2021 03:00 - 05.01.2021 03:15","43038","50217"
"05.01.2021 03:15 - 05.01.2021 03:30","43601","50221"
"05.01.2021 03:30 - 05.01.2021 03:45","43576","50335"
"05.01.2021 03:45 - 05.01.2021 04:00","43677","50425"
"05.01.2021 04:00 - 05.01.2021 04:15","44018","50738"
"05.01.2021 04:15 - 05.01.2021 04:30","44405","50837"
"05.01.2021 04:30 - 05.01.2021 04:45","44638","51082"
"05.01.2021 04:45 - 05.01.2021 05:00","45105","51260"
"05.01.2021 05:00 - 05.01.2021 05:15","45788","52642"
"05.01.2021 05:15 - 05.01.2021 05:30","46292","52996"
"05.01.2021 05:30 - 05.01.2021 05:45","46921","53572"
"05.01.2021 05:45 - 05.01.2021 06:00","47772","54822"
"05.01.2021 06:00 - 05.01.2021 06:15","49758","57074"
"05.01.2021 06:15 - 05.01.2021 06:30","51368","58475"
"05.01.2021 06:30 - 05.01.2021 06:45","52488","59483"
"05.01.2021 06:45 - 05.01.2021 07:00","53800","60598"
"05.01.2021 07:00 - 05.01.2021 07:15","55263","62559"
"05.01.2021 07:15 - 05.01.2021 07:30","54727","63351"
"05.01.2021 07:30 - 05.01.2021 07:45","55647","64342"
"05.01.2021 07:45 - 05.01.2021 08:00","56436","65523"
"05.01.2021 08:00 - 05.01.2021 08:15","57540","66384"
"05.01.2021 08:15 - 05.01.2021 08:30","57879","66980"
"05.01.2021 08:30 - 05.01.2021 08:45","57963","67330"
"05.01.2021 08:45 - 05.01.2021 09:00","58533","67659"
"05.01.2021 09:00 - 05.01.2021 09:15","58538","68201"
"05.01.2021 09:15 - 05.01.2021 09:30","59254","68660"
"05.01.2021 09:30 - 05.01.2021 09:45","59962","69006"
"05.01.2021 09:45 - 05.01.2021 10:00","60407","69120"
"05.01.2021 10:00 - 05.01.2021 10:15","60576","69133"
"05.01.2021 10:15 - 05.01.2021 10:30","60917","69759"
"05.01.2021 10:30 - 05.01.2021 10:45","61190","69984"
"05.01.2021 10:45 - 05.01.2021 11:00","61624","70286"
