labels,2015,2016,2017,2018,2019,2020,2021,low_shock,high_shock
205,24678.5,22396.25,24974,17605.25,16990.75,15450,15983.25,24678.5,17605.25
206,24258,22478.25,24109,17665.25,17186,15929.75,16091.75,24258,17665.25
207,23615,22334.5,23826.25,18589,17201.5,15875.25,16307.5,23615,18589
208,23958.5,23169.5,24072,19743,18903.5,16239.75,18251.75,23958.5,19743
209,25163,24001.25,26117.5,21106,19852,17307.25,21227,25163,21106
210,25417.25,23869.25,24803.75,21230.25,20886,17931.75,20660.25,25417.25,21230.25
211,25689,22926.5,24234.75,20382.75,19865,16613.5,18740.5,25689,20382.75
212,23772.25,22239.25,22770.75,18518.75,18674.25,15932.25,16491.75,23772.25,18518.75
213,23137,21985.75,22251.75,17456.25,17790,15879.25,16083.75,23137,17456.25
214,23871.5,21823.5,21069.25,18021.25,17573,16355.75,15966.5,23871.5,18021.25
215,23248.5,21156.5,20030,17338.75,17297.5,15973.75,15405.75,23248.5,17338.75
216,30657.25,20323.5,20163,18200.25,17305.75,15668,15277,30657.25,18200.25
217,22839.25,20312.25,19402.5,17503,17264.5,15717.25,15299.75,22839.25,17503
218,22503.5,20824.5,18440.25,17309.75,17280.5,15706,15438,22503.5,17309.75
219,22330.5,20208.75,18863,17317.25,17326.5,15588.75,15154,22330.5,17317.25
220,22216,20376.75,19453.75,17416.25,17270.25,15851.5,15145.5,22216,17416.25
221,22070.25,19943.5,20732.25,17637,17340.75,15970,15284.25,22070.25,17637
222,22065.5,20847.25,22433,18859.5,18401.5,15784.25,15103,22065.5,18859.5
223,21969.25,20222.75,24668.75,22961.75,20709,16970.75,15214.75,21969.25,22961.75
224,22654,20577.5,26704.25,22021.5,21959.25,18261.75,15366.5,22654,22021.5
225,23502.75,21657,26246.25,19883.75,21763,17754,15794.25,23502.75,19883.75
226,23090.75,21431.5,25111,18871.75,21951,16653,15927,23090.75,18871.75
227,24029.75,21583,25197.5,18168.5,21494.5,15887.75,15517.5,24029.75,18168.5
228,23597.25,21312.75,23673,17863.5,19784.25,15378.25,15397.25,23597.25,17863.5
229,23386.5,21029.75,23473,17982.75,19247.5,15488,15274.75,23386.5,17982.75
230,23272.75,21775,24062.25,18339.25,19239.75,15336.25,15306.5,23272.75,18339.25
231,23535.5,21451,24057.25,18351,19243.25,14961.25,15318.5,23535.5,18351
232,24096,21264.25,25366.25,19211.75,20869.25,15874.25,15942,24096,19211.75
233,26292.5,22424.25,27646.5,21571.75,21955.25,18058.75,19742.5,26292.5,21571.75
234,26044,22707.25,27090.5,21486.75,20524.5,18895,19675.5,26044,21486.75
235,24697.5,21739,25399.5,20070.75,20118.5,19069.5,17639.5,24697.5,20070.75
236,23516,21492,23025,18487,19809.75,17923,16009.25,23516,18487
237,22749.25,21415,21843.5,18195.25,18029.5,16306.75,16036,22749.25,18195.25
238,23727,22218.25,21580.25,18761.25,17779.25,16714.75,16784.75,23727,18761.25
239,22596,21519.75,20854,17831.25,17580,16731.75,15500.25,22596,17831.25
240,26815.5,20628.75,19755.5,17979.5,17450.5,16564.25,15136.25,26815.5,17979.5
241,20931.25,19954.5,19222.25,17836.25,17403.25,16152.25,15017,20931.25,17836.25
242,21329,19760.75,18505,17599.5,17448.25,16060,14922.75,21329,17599.5
243,21150.5,19966.75,18540.5,17627.5,17318.75,15851,14889.5,21150.5,17627.5
244,20783.75,20320.25,18697.25,17575.25,17507.75,15727.25,14971.75,20783.75,17575.25
245,20475.25,21270,18667.25,18234.5,17421,15682.75,15007.25,20475.25,18234.5
246,19849.25,22878,20055,18841.75,19500.25,15708.75,15459.5,19849.25,18841.75
247,20180,25020.5,22295,19040.75,20875,16854.5,17184,20180,19040.75
248,20826.25,25720,23870.75,21738.75,21008.5,17072.75,20654,20826.25,21738.75
249,21511,24567.25,22843,20011,20661.25,17871.75,19017.75,21511,20011
250,22473.5,25274.5,21954,19768.75,19058.5,18095.25,19237.5,22473.5,19768.75
251,23756.25,24964.5,21087.25,19413.75,18165,16084.75,17045.75,23756.25,19413.75
252,23104.5,24713,21233,18535,17627.25,15658.25,16680,23104.5,18535
253,22614,24800,20749.5,18282.75,17154,15424.25,15698.5,22614,18282.75
254,22355.25,24344.75,20501.75,18032,16948.5,15708.75,15464.75,22355.25,18032
255,22868.25,23952.25,20388,18544.75,16766.25,16129.25,15735.25,22868.25,18544.75
256,23546,24591,20116.75,20369.25,17131.25,15921,16985.75,23546,20369.25
257,25177.25,26335.75,21885.5,21834,18564.75,17843,18042.25,25177.25,21834
258,24859.25,26491.75,21655.25,21193.75,18578.75,18974.25,16627.75,24859.25,21193.75
259,24586.5,25396,20959.75,21071.75,17794.75,17164.75,15527,24586.5,21071.75
260,23148,25071,19339,18680,17799.5,16067.25,14868.25,23148,18680
261,22919.5,23540.75,18354.5,18900.75,17039,16063.25,14686.25,22919.5,18900.75
262,24823.25,23363.5,18503,18128.25,17280.5,16150,14825.75,24823.25,18128.25
263,23158.5,22483.5,18894,17951.75,17297.75,15569,14702.5,23158.5,17951.75
264,17217,21483,18183.25,17622.5,17267,15214.25,14411,17217,17622.5
265,17333,20856.25,17931,17520.25,17084.5,15165.75,14212,17333,17520.25
266,17225.5,21475.25,17650.75,17343.5,17098.75,14978,14455.75,17225.5,17343.5
267,16912.5,21676,17637.75,17286.75,17191.5,15041.5,14399.75,16912.5,17286.75
268,16735.25,21304.25,17604.5,17302.75,17015.5,15043.5,14354.25,16735.25,17302.75
269,17388.75,21848.25,18040.75,17700.75,16846.5,15137.5,14380.75,17388.75,17700.75
270,18746,22613.5,19010.75,18713,17621.75,15017.75,14583.25,18746,18713
271,19417.5,26482.75,20753.5,20107.25,18563.75,15042.5,15863.75,19417.5,20107.25
272,19812,28274.75,22148.5,23141,19142,15184.25,18117.25,19812,23141
273,19086.75,27998.25,21616,22690,18784.5,15023.5,18278,19086.75,22690
274,19093.75,26136.5,20785,21874,18383.5,14984.25,18709,19093.75,21874
275,19181,26327.25,20499,21524.5,17575,15404.75,19101,19181,21524.5
276,19302.75,24733.75,20315.5,19678.25,16744,14875,17097.5,19302.75,19678.25
277,19054,24518.5,21036.25,18733,16668.25,14857,15393.5,19054,18733
278,19046.75,24804,22371.75,18268,16845,15077.25,15497.75,19046.75,18268
279,19177.5,24206,23238.5,18691.25,16822.75,15476.5,16644.75,19177.5,18691.25
280,19694,25540.75,24854.5,19568.5,17145.75,15513.75,17622.75,19694,19568.5
281,20392.25,29267.5,27226.25,21598.75,17970.75,15409,19129.25,20392.25,21598.75
282,20130,28333.5,27622,20027.75,17762.25,15679.25,18547.5,20130,20027.75
283,19765.75,26532.25,25934,18469.25,17337,15424,16262.25,19765.75,18469.25
284,18400.25,24479.5,23767.25,18005,16794.75,14924.5,15311.25,18400.25,18005
285,18056.25,23091.75,22447.25,17779,16715.5,15220.5,15218.75,18056.25,17779
286,18801,22697.5,21509.5,17877.5,17198.5,15828,15071.5,18801,17877.5
287,18922.75,21686.75,21359,17708.5,16747.5,15437.5,14834.5,18922.75,17708.5
288,18817,21344.75,20281.75,17978.25,16414.75,15083,14736.25,18817,17978.25
289,18621.5,20682.75,19853.5,18268.75,16587,15389,14903.5,18621.5,18268.75
290,18191.5,20930.25,20517.5,18078.25,16616.25,15506.5,14634.5,18191.5,18078.25
291,17928.75,20508.25,19663.75,17838,16526.25,15417.25,14621.5,17928.75,17838
292,18314,21275,19885,18254,16482.25,15502.5,14600,18314,18254
293,17804.5,22360,20510.5,17686.75,16419,15845.75,14571.25,17804.5,17686.75
294,18663,23171.75,22068.5,17564.25,16458.5,17030.5,15394.25,18663,17564.25
295,19474,24317,23777.5,17942.25,16431.5,20032.5,15355,19474,17942.25
296,18930,25118,24590.75,17613,16594.75,19973.5,17400,18930,17613
297,18154.75,24980,24623.5,18586.75,17434.75,20206.75,16551.25,18154.75,18586.75
298,17984.5,24466.5,23087.5,19743,17693.25,20167.5,15078,17984.5,19743
299,17732.5,25459.75,22596.25,20008.75,18248,18456.75,14906.25,17732.5,20008.75
300,17632.25,24991.75,22788.25,19825.5,17589.5,17829.75,14989,17632.25,19825.5
301,18141,24840.75,22446,18907,16986.5,16780.5,14825,18141,18907
302,19148.75,24915,21862.5,17867.5,16533.75,17056,14958.75,19148.75,17867.5
303,19718.5,25191.75,22107,17594.25,16424.75,18087.75,15068,19718.5,17594.25
304,20475.75,25853,22553.25,17837.5,16599.25,18881.25,15194,20475.75,17837.5
305,21378.25,27736,24339,19434,17470.25,19624.5,17367.25,21378.25,19434
306,20948.25,27576.75,24834.5,18753.75,17091.75,18150.5,17691.5,20948.25,18753.75
307,20075.25,26413.25,24860,17788.75,16705.5,16888.75,16522.75,20075.25,17788.75
308,19511.25,25235.5,23126,17477.75,16275.5,15980.25,15232.25,19511.25,17477.75
309,18331.5,24155,21618.75,17363.25,15629.25,16212.25,14879.25,18331.5,17363.25
310,18541.5,22715.25,21381.75,17702.5,15464.75,16953,15156.75,18541.5,17702.5
311,18353.25,21925.75,19991,17946.25,15411.5,16058,14754,18353.25,17946.25
312,18490,21331.5,18662.75,17790,15286.25,15810.75,14495.75,18490,17790
