labels,2015,2016,2017,2018,2019,2020,2021,2022
229,18.34779167,17.11164583,17.97216667,25.38791667,16.445125,13.6498125,78.45508333,145.255625
230,18.34408333,17.23304167,18.01433333,25.22983333,16.42075,13.685875,77.28816667,142.61375
231,18.340375,17.3544375,18.0565,25.07175,16.396375,13.7219375,76.12125,139.971875
232,18.33666667,17.47583333,18.09866667,24.91366667,16.372,13.758,74.95433333,137.33
233,18.33295833,17.59722917,18.14083333,24.75558333,16.347625,13.7940625,73.78741667,134.688125
234,18.32925,17.718625,18.183,24.5975,16.32325,13.830125,72.6205,132.04625
235,18.32554167,17.84002083,18.22516667,24.43941667,16.298875,13.8661875,71.45358333,129.404375
236,18.32183333,17.96141667,18.26733333,24.28133333,16.2745,13.90225,70.28666667,126.7625
237,18.318125,18.0828125,18.3095,24.12325,16.250125,13.9383125,69.11975,124.120625
238,18.31441667,18.20420833,18.35166667,23.96516667,16.22575,13.974375,67.95283333,121.47875
239,18.31070833,18.32560417,18.39383333,23.80708333,16.201375,14.0104375,66.78591667,118.836875
240,18.307,18.447,18.436,23.649,16.177,14.0465,65.619,116.195
241,18.30329167,18.432125,18.53666667,23.60239583,16.25336111,14.0825625,64.69985417,117.1560417
242,18.29958333,18.41725,18.63733333,23.55579167,16.32972222,14.118625,63.78070833,118.1170833
243,18.295875,18.402375,18.738,23.5091875,16.40608333,14.1546875,62.8615625,119.078125
244,18.29216667,18.3875,18.83866667,23.46258333,16.48244444,14.19075,61.94241667,120.0391667
245,18.28845833,18.372625,18.93933333,23.41597917,16.55880556,14.2268125,61.02327083,121.0002083
246,18.28475,18.35775,19.04,23.369375,16.63516667,14.262875,60.104125,121.96125
247,18.28104167,18.342875,19.14066667,23.32277083,16.71152778,14.2989375,59.18497917,122.9222917
248,18.27733333,18.328,19.24133333,23.27616667,16.78788889,14.335,58.26583333,123.8833333
249,18.273625,18.313125,19.342,23.2295625,16.86425,14.3710625,57.3466875,124.844375
250,18.26991667,18.29825,19.44266667,23.18295833,16.94061111,14.407125,56.42754167,125.8054167
251,18.26620833,18.283375,19.54333333,23.13635417,17.01697222,14.4431875,55.50839583,126.7664583
252,18.2625,18.2685,19.644,23.08975,17.09333333,14.47925,54.58925,127.7275
253,18.25879167,18.253625,19.74466667,23.04314583,17.16969444,14.5153125,53.67010417,128.6885417
254,18.25508333,18.23875,19.84533333,22.99654167,17.24605556,14.551375,52.75095833,129.6495833
255,18.251375,18.223875,19.946,22.9499375,17.32241667,14.5874375,51.8318125,130.610625
256,18.24766667,18.209,20.04666667,22.90333333,17.39877778,14.6235,50.91266667,131.5716667
257,18.24395833,18.194125,20.14733333,22.85672917,17.47513889,14.6595625,49.99352083,132.5327083
258,18.24025,18.17925,20.248,22.810125,17.5515,14.695625,49.074375,133.49375
259,18.23654167,18.164375,20.34866667,22.76352083,17.62786111,14.7316875,48.15522917,134.4547917
260,18.23283333,18.1495,20.44933333,22.71691667,17.70422222,14.76775,47.23608333,135.4158333
261,18.229125,18.134625,20.55,22.6703125,17.78058333,14.8038125,46.3169375,136.376875
262,18.22541667,18.11975,20.65066667,22.62370833,17.85694444,14.839875,45.39779167,137.3379167
263,18.22170833,18.104875,20.75133333,22.57710417,17.93330556,14.8759375,44.47864583,138.2989583
264,18.218,18.09,20.852,22.5305,18.00966667,14.912,43.5595,139.26
265,18.31104167,17.92675,20.81683333,22.48389583,18.08602778,14.79291667,42.64035417,137.0183333
266,18.40408333,17.7635,20.78166667,22.43729167,18.16238889,14.67383333,41.72120833,134.7766667
267,18.497125,17.60025,20.7465,22.3906875,18.23875,14.55475,40.8020625,132.535
268,18.59016667,17.437,20.71133333,22.34408333,18.31511111,14.43566667,39.88291667,130.2933333
269,18.68320833,17.27375,20.67616667,22.29747917,18.39147222,14.31658333,38.96377083,128.0516667
270,18.77625,17.1105,20.641,22.250875,18.46783333,14.1975,38.044625,125.81
271,18.86929167,16.94725,20.60583333,22.20427083,18.54419444,14.07841667,37.12547917,123.5683333
272,18.96233333,16.784,20.57066667,22.15766667,18.62055556,13.95933333,36.20633333,121.3266667
273,19.055375,16.62075,20.5355,22.1110625,18.69691667,13.84025,35.2871875,119.085
274,19.14841667,16.4575,20.50033333,22.06445833,18.77327778,13.72116667,34.36804167,116.8433333
275,19.24145833,16.29425,20.46516667,22.01785417,18.84963889,13.60208333,33.44889583,114.6016667
276,19.3345,16.131,20.43,21.97125,18.926,13.483,32.52975,112.36
277,19.42754167,15.96775,20.39483333,21.92464583,19.00236111,13.36391667,31.61060417,110.1183333
278,19.52058333,15.8045,20.35966667,21.87804167,19.07872222,13.24483333,30.69145833,107.8766667
279,19.613625,15.64125,20.3245,21.8314375,19.15508333,13.12575,29.7723125,105.635
280,19.70666667,15.478,20.28933333,21.78483333,19.23144444,13.00666667,28.85316667,103.3933333
281,19.79970833,15.31475,20.25416667,21.73822917,19.30780556,12.88758333,27.93402083,101.1516667
282,19.89275,15.1515,20.219,21.691625,19.38416667,12.7685,27.014875,98.91
283,19.98579167,14.98825,20.18383333,21.64502083,19.46052778,12.64941667,26.09572917,96.66833333
284,20.07883333,14.825,20.14866667,21.59841667,19.53688889,12.53033333,25.17658333,94.42666667
285,20.171875,14.66175,20.1135,21.5518125,19.61325,12.41125,24.2574375,92.185
286,20.26491667,14.4985,20.07833333,21.50520833,19.68961111,12.29216667,23.33829167,89.94333333
287,20.35795833,14.33525,20.04316667,21.45860417,19.76597222,12.17308333,22.41914583,87.70166667
288,20.451,14.172,20.008,21.412,19.84233333,12.054,21.5,85.46
289,20.456875,14.15470833,19.99402778,21.36539583,19.91869444,12.02270833,21.49304167,85.52291667
