time,2015,2016,2017,2018,2019,favorable,adverse
01-11 14:00,55844.0,72499.0,76584.0,71347.0,73598.0,65997.36,83996.64000000001
01-11 15:00,55005.0,71971.0,75718.0,71302.0,72366.0,66022.0,84028.00000000001
01-11 16:00,57789.0,72887.0,75818.0,72479.0,73148.0,67008.48,85283.52
01-11 17:00,61708.0,74829.0,77522.0,74279.0,74713.0,68816.88,87585.12000000001
01-11 18:00,62144.0,74487.0,77124.0,73618.0,73977.0,68190.32,86787.68000000001
01-11 19:00,61254.0,72719.0,76182.0,72576.0,72380.0,67279.52,85628.48000000001
01-11 20:00,59159.0,69524.0,73162.0,69150.0,68812.0,64364.08,81917.92000000001
01-11 21:00,56656.0,65692.0,68565.0,65227.0,64684.0,61415.2,78164.8
01-11 22:00,57443.0,63209.0,66197.0,63032.0,62217.0,59084.08,75197.92000000001
01-11 23:00,54388.0,58328.0,62473.0,58779.0,58577.0,56094.72,71393.28000000001
01-12 00:00,50774.0,53885.0,58118.0,54421.0,54274.0,53093.04,67572.96
01-12 01:00,48404.0,51028.0,55838.0,52032.0,51420.0,51634.0,65716.0
01-12 02:00,47329.0,50147.0,54160.0,50668.0,49334.0,50146.8,63823.200000000004
01-12 03:00,48031.0,50698.0,54483.0,51180.0,48328.0,50094.88,63757.12
01-12 04:00,50151.0,52211.0,56233.0,52803.0,48649.0,51459.76,65494.240000000005
01-12 05:00,55907.0,56774.0,60317.0,57182.0,49107.0,54970.08,69961.92000000001
01-12 06:00,65978.0,65901.0,68703.0,66299.0,51060.0,60795.68,77376.32
01-12 07:00,72565.0,72039.0,74141.0,71435.0,54846.0,64990.64,82715.36000000002
01-12 08:00,74131.0,73300.0,75173.0,72863.0,58324.0,66092.4,84117.6
01-12 09:00,74305.0,73312.0,75088.0,73262.0,61629.0,66141.68000000001,84180.32
01-12 10:00,75968.0,73587.0,75974.0,73607.0,63775.0,66644.16,84819.84000000001
01-12 11:00,76682.0,74211.0,76246.0,73861.0,64703.0,67528.56,85945.44
01-12 12:00,76345.0,73479.0,75508.0,73265.0,64414.0,67384.24,85761.76000000001
01-12 13:00,76171.0,73472.0,75625.0,72756.0,63285.0,66890.56,85133.44
01-12 14:00,74706.0,72297.0,74269.0,70765.0,61749.0,64913.2,82616.8
01-12 15:00,73984.0,71764.0,73521.0,70391.0,61006.0,64127.36,81616.64000000001
01-12 16:00,74587.0,72749.0,74021.0,71155.0,63256.0,64152.88,81649.12000000001
01-12 17:00,76326.0,75295.0,76001.0,72942.0,64723.0,66705.76,84898.24
01-12 18:00,76074.0,75065.0,75561.0,72333.0,64921.0,66201.52,84256.48000000001
01-12 19:00,74671.0,73901.0,74115.0,70788.0,63229.0,65140.24,82905.76000000001
01-12 20:00,70866.0,70401.0,70560.0,67189.0,60457.0,62684.16,79779.84000000001
01-12 21:00,66583.0,66573.0,66391.0,63334.0,56650.0,59788.08,76093.92000000001
01-12 22:00,64201.0,63478.0,64296.0,61408.0,55763.0,57406.8,73063.20000000001
01-12 23:00,59668.0,58955.0,59845.0,57661.0,53161.0,54531.840000000004,69404.16
01-13 00:00,54694.0,54577.0,56138.0,54184.0,49785.0,52264.96,66519.04000000001
01-13 01:00,52035.0,52223.0,54089.0,51405.0,47052.0,50796.24,64649.76000000001
01-13 02:00,50311.0,51086.0,53817.0,49511.0,45558.0,49478.88,62973.12
01-13 03:00,51265.0,51392.0,54229.0,49225.0,44531.0,49762.24,63333.76000000001
01-13 04:00,53073.0,53484.0,56282.0,49422.0,44381.0,50734.64,64571.36000000001
01-13 05:00,57311.0,57839.0,60347.0,49354.0,44313.0,54068.08,68813.92000000001
01-13 06:00,66612.0,67208.0,69222.0,51150.0,43866.0,59632.32,75895.68000000001
